date,microsensor_pm25,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-01-01 00:00:00,23.2419229901908,0,1,Winter,15.2,10.7,99.9
2023-01-01 01:00:00,23.2853351629756,1,1,Winter,15.9,10.16,99.9
2023-01-01 02:00:00,21.6872978924329,2,1,Winter,15.2,10.14,99.9
2023-01-01 03:00:00,19.9691969801788,3,1,Winter,13.6,10.05,99.9
2023-01-01 04:00:00,16.3987248811711,4,1,Winter,11.8,9.77,99.9
2023-01-01 05:00:00,16.8052057489127,5,1,Winter,11.4,8.59,99.9
2023-01-01 06:00:00,18.0570781003202,6,1,Winter,11.9,8.09,99.9
2023-01-01 07:00:00,18.2675680901184,7,1,Winter,11.8,7.99,99.9
2023-01-01 08:00:00,16.3045895757962,8,1,Winter,11.1,8.22,99.9
2023-01-01 09:00:00,13.1722400210576,9,1,Winter,9.8,9.97,99.9
2023-01-01 10:00:00,12.1433126030984,10,1,Winter,9.2,13.1,99.9
2023-01-01 11:00:00,12.7249239998109,11,1,Winter,10.2,13.73,99.9
2023-01-01 12:00:00,14.1244206523417,12,1,Winter,10.8,15.52,99.9
2023-01-01 13:00:00,13.0228446574872,13,1,Winter,10.2,17.92,99.32
2023-01-01 14:00:00,7.04276211890988,14,1,Winter,7.1,18.99,87.78
2023-01-01 15:00:00,5.23193938544937,15,1,Winter,4.6,19.87,67.38
2023-01-01 16:00:00,5.42168544032532,16,1,Winter,5.5,19.14,61.14
2023-01-01 17:00:00,7.33207462778937,17,1,Winter,6.7,16.36,85.07
2023-01-01 18:00:00,8.11320410871366,18,1,Winter,8.5,14.86,95.63
2023-01-01 19:00:00,5.47685207064936,19,1,Winter,5.6,17.65,68.29
2023-01-01 20:00:00,5.76835061236703,20,1,Winter,5.4,18.43,57.5
2023-01-01 21:00:00,5.54800109731373,21,1,Winter,5.5,18.28,55.42
2023-01-01 22:00:00,5.57721509497985,22,1,Winter,5.5,18.33,55.19
2023-01-01 23:00:00,5.58605342596177,23,1,Winter,6.4,18.5,52.29
2023-01-02 00:00:00,5.69057311739853,0,1,Winter,7.4,18.24,47.45
2023-01-02 01:00:00,5.64710792736068,1,1,Winter,8.1,18.11,45.11
2023-01-02 02:00:00,6.08692411246412,2,1,Winter,8.7,17.86,45.72
2023-01-02 03:00:00,5.8662458112345,3,1,Winter,9.3,17.69,45.63
2023-01-02 04:00:00,6.05213776099923,4,1,Winter,9.3,17.54,46.53
2023-01-02 05:00:00,6.12358368136587,5,1,Winter,9.0,17.77,47.59
2023-01-02 06:00:00,6.20235994172523,6,1,Winter,9.0,17.85,49.02
2023-01-02 07:00:00,6.27736691384717,7,1,Winter,8.9,17.74,50.29
2023-01-02 08:00:00,6.35333414729169,8,1,Winter,8.7,17.78,51.64
2023-01-02 09:00:00,6.10685604587518,9,1,Winter,6.8,18.7,51.06
2023-01-02 10:00:00,7.28903174198254,10,1,Winter,7.9,17.34,61.71
2023-01-02 11:00:00,7.90270617665711,11,1,Winter,9.0,16.86,71.1
2023-01-02 12:00:00,8.07278558518694,12,1,Winter,9.5,16.06,81.02
2023-01-02 13:00:00,8.29931015713235,13,1,Winter,9.4,15.37,90.09
2023-01-02 14:00:00,9.23948491836776,14,1,Winter,9.3,15.16,92.23
2023-01-02 15:00:00,9.83631534591013,15,1,Winter,8.8,14.69,91.36
2023-01-02 16:00:00,11.0936670313852,16,1,Winter,10.9,14.15,93.0
2023-01-02 17:00:00,13.2572687670013,17,1,Winter,12.8,13.72,95.38
2023-01-02 18:00:00,10.4851610137977,18,1,Winter,10.4,14.06,96.74
2023-01-02 19:00:00,15.3335126678036,19,1,Winter,13.9,13.31,99.54
2023-01-02 20:00:00,20.8393341976784,20,1,Winter,17.9,12.45,99.9
2023-01-02 21:00:00,21.5464909181278,21,1,Winter,17.4,11.35,99.9
2023-01-02 22:00:00,20.9499144713328,22,1,Winter,16.7,11.03,99.9
2023-01-02 23:00:00,22.3111927670476,23,1,Winter,17.3,10.81,99.9
2023-01-03 00:00:00,23.2990690073541,0,1,Winter,16.9,10.76,99.9
2023-01-03 01:00:00,24.1449619187974,1,1,Winter,17.5,10.64,99.9
2023-01-03 02:00:00,24.4326640420383,2,1,Winter,17.5,10.83,99.9
2023-01-03 03:00:00,24.6901496144377,3,1,Winter,17.5,10.94,99.9
2023-01-03 04:00:00,20.0382613004573,4,1,Winter,15.3,10.87,99.9
2023-01-03 05:00:00,9.64545548879595,5,1,Winter,5.1,10.49,99.9
2023-01-03 06:00:00,8.53668114320371,6,1,Winter,4.9,10.3,99.9
2023-01-03 07:00:00,13.3728163782376,7,1,Winter,6.6,10.24,99.9
2023-01-03 08:00:00,16.7495097149234,8,1,Winter,12.2,10.39,99.9
2023-01-03 09:00:00,19.951543959413,9,1,Winter,11.6,10.74,99.9
2023-01-03 10:00:00,16.4324914403219,10,1,Winter,10.8,11.01,99.9
2023-01-03 11:00:00,13.9235258094219,11,1,Winter,8.8,11.71,99.9
2023-01-03 12:00:00,14.0487005893276,12,1,Winter,9.0,12.4,99.9
2023-01-03 13:00:00,11.8367716893839,13,1,Winter,7.6,13.15,99.9
2023-01-03 14:00:00,13.3900950679481,14,1,Winter,7.7,13.13,99.9
2023-01-03 15:00:00,15.4574413302946,15,1,Winter,9.8,12.27,99.9
2023-01-03 16:00:00,17.0397425889312,16,1,Winter,10.0,12.08,99.9
2023-01-03 17:00:00,17.5640991995794,17,1,Winter,10.7,11.66,99.9
2023-01-03 18:00:00,13.8701710811517,18,1,Winter,8.7,11.12,99.9
2023-01-03 19:00:00,14.2259472103301,19,1,Winter,9.0,10.94,99.9
2023-01-03 20:00:00,18.774838853121,20,1,Winter,11.3,10.96,99.9
2023-01-03 21:00:00,21.4185146924402,21,1,Winter,13.2,10.99,99.9
2023-01-03 22:00:00,24.2620721070083,22,1,Winter,15.2,11.01,99.9
2023-01-03 23:00:00,28.1477354172893,23,1,Winter,17.9,11.01,99.9
2023-01-04 00:00:00,28.9378976340998,0,1,Winter,20.1,10.88,99.9
2023-01-04 01:00:00,28.7488521625311,1,1,Winter,19.3,10.63,99.9
2023-01-04 02:00:00,29.806671049385,2,1,Winter,19.9,10.59,99.9
2023-01-04 03:00:00,31.9838378062131,3,1,Winter,22.4,10.44,99.9
2023-01-04 04:00:00,31.1643817090637,4,1,Winter,21.6,10.29,99.9
2023-01-04 05:00:00,30.2182875781308,5,1,Winter,20.0,9.92,99.9
2023-01-04 06:00:00,29.4729324921961,6,1,Winter,19.5,10.06,99.9
2023-01-04 07:00:00,26.4447127259391,7,1,Winter,17.7,9.79,99.9
2023-01-04 08:00:00,22.2213381809537,8,1,Winter,14.7,9.24,99.9
2023-01-04 09:00:00,19.6750882006969,9,1,Winter,13.4,9.58,99.9
2023-01-04 10:00:00,16.5106995350322,10,1,Winter,11.5,10.19,99.9
2023-01-04 11:00:00,15.2807608398235,11,1,Winter,10.5,11.47,99.9
2023-01-04 12:00:00,12.8813530417643,12,1,Winter,9.2,13.83,99.65
2023-01-04 13:00:00,11.5141293462776,13,1,Winter,7.7,15.51,96.54
2023-01-04 14:00:00,9.84591215328498,14,1,Winter,6.2,15.02,95.37
2023-01-04 15:00:00,9.63144350698397,15,1,Winter,5.9,15.13,94.23
2023-01-04 16:00:00,11.5941090871597,16,1,Winter,7.5,12.5,98.98
2023-01-04 17:00:00,16.8751366613269,17,1,Winter,11.3,10.59,99.9
2023-01-04 18:00:00,15.6452517612226,18,1,Winter,10.8,9.68,99.9
2023-01-04 19:00:00,22.3163269187765,19,1,Winter,16.7,8.99,99.9
2023-01-04 20:00:00,24.9842156243375,20,1,Winter,18.7,8.3,99.9
2023-01-04 21:00:00,22.3231727163018,21,1,Winter,15.8,7.75,99.9
2023-01-04 22:00:00,20.9710628079012,22,1,Winter,14.8,7.09,99.9
2023-01-04 23:00:00,23.1271706641368,23,1,Winter,15.1,6.64,99.9
2023-01-05 00:00:00,27.4533489229163,0,1,Winter,19.6,6.45,99.9
2023-01-05 01:00:00,27.4016667480468,1,1,Winter,19.1,5.69,99.9
2023-01-05 02:00:00,24.3633379134127,2,1,Winter,16.3,5.53,99.9
2023-01-05 03:00:00,25.1523903522682,3,1,Winter,17.1,6.11,99.9
2023-01-05 04:00:00,25.255728458671,4,1,Winter,17.2,6.62,99.9
2023-01-05 05:00:00,22.6595994794142,5,1,Winter,15.9,6.81,99.9
2023-01-05 06:00:00,22.2104441143668,6,1,Winter,15.3,7.06,99.9
2023-01-05 07:00:00,22.2115069499072,7,1,Winter,15.2,7.26,99.9
2023-01-05 08:00:00,22.9732976334636,8,1,Winter,17.3,7.65,99.9
2023-01-05 09:00:00,23.2880239218051,9,1,Winter,16.3,8.54,99.9
2023-01-05 10:00:00,19.0210256924991,10,1,Winter,16.1,12.61,99.58
2023-01-05 11:00:00,12.7892683075578,11,1,Winter,9.5,13.53,95.16
2023-01-05 12:00:00,17.4120052251931,12,1,Winter,12.1,13.45,95.27
2023-01-05 13:00:00,10.7944721859609,13,1,Winter,7.4,16.08,89.12
2023-01-05 16:00:00,13.8138908421789,16,1,Winter,13.2,13.19,98.6
2023-01-05 17:00:00,15.5629083519259,17,1,Winter,13.5,11.54,99.9
2023-01-05 18:00:00,14.3960388904872,18,1,Winter,11.3,11.2,99.9
2023-01-05 19:00:00,15.7273240419899,19,1,Winter,11.4,11.23,99.9
2023-01-05 20:00:00,18.8157243331398,20,1,Winter,13.0,11.05,99.9
2023-01-05 21:00:00,21.042131071477,21,1,Winter,14.4,11.04,99.9
2023-01-05 22:00:00,22.7022109788811,22,1,Winter,16.1,11.0,99.9
2023-01-05 23:00:00,24.5022492249077,23,1,Winter,16.3,10.77,99.9
2023-01-06 00:00:00,25.1605670043815,0,1,Winter,17.1,10.32,99.9
2023-01-06 01:00:00,26.5177610871167,1,1,Winter,16.9,9.61,99.9
2023-01-06 02:00:00,26.0783547728927,2,1,Winter,17.5,8.97,99.9
2023-01-06 03:00:00,25.1172915374457,3,1,Winter,16.7,8.14,99.9
2023-01-06 04:00:00,17.5325425096333,4,1,Winter,12.6,8.59,99.9
2023-01-06 05:00:00,15.7216677506356,5,1,Winter,10.6,8.44,99.9
2023-01-06 06:00:00,14.477038287723,6,1,Winter,9.8,8.54,99.9
2023-01-06 07:00:00,16.2011053603937,7,1,Winter,11.7,8.53,99.9
2023-01-06 08:00:00,17.6840239797146,8,1,Winter,14.4,8.54,99.9
2023-01-06 09:00:00,16.0767774819331,9,1,Winter,12.8,8.74,99.9
2023-01-06 10:00:00,13.7942935189194,10,1,Winter,10.6,9.26,99.9
2023-01-06 11:00:00,13.5208942675987,11,1,Winter,10.9,10.54,99.9
2023-01-06 12:00:00,12.5354221850665,12,1,Winter,9.6,11.61,99.46
2023-01-06 13:00:00,12.2015554619714,13,1,Winter,8.3,15.21,94.98
2023-01-06 14:00:00,12.1442146038209,14,1,Winter,8.1,16.22,92.06
2023-01-06 15:00:00,13.9296734393866,15,1,Winter,9.6,15.18,92.39
2023-01-06 16:00:00,12.2480155972522,16,1,Winter,8.8,12.34,98.45
2023-01-06 17:00:00,13.2805823453839,17,1,Winter,9.6,10.96,99.9
2023-01-06 18:00:00,16.7235259019947,18,1,Winter,11.5,10.98,99.9
2023-01-06 19:00:00,18.6864972932918,19,1,Winter,13.5,11.01,99.9
2023-01-06 20:00:00,22.9009586430964,20,1,Winter,16.0,10.85,99.9
2023-01-06 21:00:00,21.2109959387999,21,1,Winter,15.9,10.75,99.9
2023-01-06 22:00:00,23.9158848413938,22,1,Winter,17.2,10.48,99.9
2023-01-06 23:00:00,24.6363377895354,23,1,Winter,17.5,10.17,99.9
2023-01-07 00:00:00,25.2885672248014,0,1,Winter,17.1,9.78,99.9
2023-01-07 01:00:00,23.9022871600472,1,1,Winter,18.5,9.21,99.9
2023-01-07 02:00:00,22.9381778211162,2,1,Winter,16.3,7.99,99.9
2023-01-07 03:00:00,21.3532774147263,3,1,Winter,14.9,6.37,99.9
2023-01-07 04:00:00,19.1258970534729,4,1,Winter,13.5,5.4,99.9
2023-01-07 05:00:00,16.0655549212291,5,1,Winter,11.0,4.86,99.9
2023-01-07 06:00:00,16.8865812183292,6,1,Winter,11.6,4.5,99.9
2023-01-07 07:00:00,18.9171693973451,7,1,Winter,12.7,4.24,99.9
2023-01-07 08:00:00,19.4959223065779,8,1,Winter,13.4,4.39,99.9
2023-01-07 09:00:00,19.8731456595471,9,1,Winter,13.9,5.97,99.9
2023-01-07 10:00:00,18.4787455435697,10,1,Winter,13.8,8.32,99.9
2023-01-07 11:00:00,18.2219927480881,11,1,Winter,13.6,10.41,99.9
2023-01-07 12:00:00,16.5841261545606,12,1,Winter,12.5,12.55,98.68
2023-01-07 13:00:00,14.2661708133142,13,1,Winter,10.6,15.02,94.69
2023-01-07 14:00:00,12.6626343713862,14,1,Winter,9.1,17.12,87.97
2023-01-07 15:00:00,12.6914645654345,15,1,Winter,9.3,15.46,92.13
2023-01-07 16:00:00,13.0426897813723,16,1,Winter,9.8,13.09,97.31
2023-01-07 17:00:00,11.5528869442944,17,1,Winter,7.8,10.58,99.77
2023-01-07 18:00:00,8.98589974025295,18,1,Winter,6.6,11.47,95.88
2023-01-07 19:00:00,6.92112809469561,19,1,Winter,4.0,12.94,88.71
2023-01-07 20:00:00,6.31085246917303,20,1,Winter,3.1,13.48,82.7
2023-01-07 21:00:00,6.33169505331571,21,1,Winter,3.1,14.11,77.94
2023-01-07 22:00:00,6.03014505994697,22,1,Winter,2.8,14.2,75.62
2023-01-07 23:00:00,9.66708773543581,23,1,Winter,6.0,10.79,90.14
2023-01-08 00:00:00,13.8778333257357,0,1,Winter,10.0,9.15,98.08
2023-01-08 01:00:00,13.9149603659656,1,1,Winter,10.6,8.46,99.77
2023-01-08 02:00:00,11.6361036902486,2,1,Winter,9.1,8.46,99.85
2023-01-08 03:00:00,12.0839155530183,3,1,Winter,8.9,8.47,99.89
2023-01-08 04:00:00,10.8356393289418,4,1,Winter,8.0,8.29,99.89
2023-01-08 05:00:00,9.00995400063667,5,1,Winter,7.0,8.66,99.54
2023-01-08 06:00:00,8.27165608659682,6,1,Winter,6.5,8.63,99.43
2023-01-08 07:00:00,8.12221176155038,7,1,Winter,5.9,8.99,98.48
2023-01-08 08:00:00,7.77935071014774,8,1,Winter,6.0,8.31,99.69
2023-01-08 09:00:00,7.90087791736677,9,1,Winter,6.1,7.73,99.9
2023-01-08 10:00:00,11.2521081491487,10,1,Winter,8.1,7.75,99.9
2023-01-08 11:00:00,10.2340136378019,11,1,Winter,7.1,8.53,99.9
2023-01-08 12:00:00,11.6633068316702,12,1,Winter,8.0,8.83,99.9
2023-01-08 13:00:00,12.1112571799402,13,1,Winter,8.1,9.2,99.9
2023-01-08 14:00:00,12.068565520046,14,1,Winter,7.9,9.74,99.9
2023-01-08 15:00:00,12.0727015050196,15,1,Winter,8.1,9.75,99.9
2023-01-08 16:00:00,13.7508580255171,16,1,Winter,8.8,9.36,99.9
2023-01-08 17:00:00,12.8836848255342,17,1,Winter,8.7,9.15,99.9
2023-01-08 18:00:00,12.5280962503856,18,1,Winter,8.0,9.1,99.9
2023-01-08 19:00:00,13.8412914511971,19,1,Winter,9.0,9.09,99.9
2023-01-08 20:00:00,16.2321713025825,20,1,Winter,9.3,9.11,99.9
2023-01-08 21:00:00,28.253405986603,21,1,Winter,17.4,9.1,99.9
2023-01-08 22:00:00,24.842932278058,22,1,Winter,15.9,8.89,99.9
2023-01-08 23:00:00,27.2152600457079,23,1,Winter,16.4,8.31,99.9
2023-01-09 00:00:00,28.2705376382687,0,1,Winter,18.4,8.78,99.9
2023-01-09 01:00:00,12.1989662329619,1,1,Winter,8.7,10.24,99.9
2023-01-09 02:00:00,3.58728293700594,2,1,Winter,0.7,9.77,99.9
2023-01-09 03:00:00,3.26359826460021,3,1,Winter,0.9,8.9,99.9
2023-01-09 04:00:00,3.31035944091584,4,1,Winter,1.3,9.33,99.86
2023-01-09 05:00:00,3.13129538071675,5,1,Winter,1.5,8.36,99.9
2023-01-09 06:00:00,3.06580599614629,6,1,Winter,1.4,8.55,99.9
2023-01-09 07:00:00,2.64258890282447,7,1,Winter,1.1,7.26,99.9
2023-01-09 08:00:00,4.68374944083858,8,1,Winter,3.2,6.22,99.9
2023-01-09 09:00:00,6.2448710816846,9,1,Winter,4.4,7.78,99.9
2023-01-09 10:00:00,8.66199892710202,10,1,Winter,5.9,8.29,99.9
2023-01-09 11:00:00,9.58662180992856,11,1,Winter,7.1,9.2,99.9
2023-01-09 12:00:00,7.32164463220716,12,1,Winter,5.6,9.71,99.9
2023-01-09 16:00:00,3.03573227134316,16,1,Winter,2.9,7.92,98.97
2023-01-09 17:00:00,2.9223071859168,17,1,Winter,2.8,8.05,98.53
2023-01-09 18:00:00,2.8284797142406,18,1,Winter,2.5,7.18,99.66
2023-01-09 19:00:00,4.49309054533565,19,1,Winter,3.7,6.62,99.9
2023-01-09 20:00:00,7.56850412362056,20,1,Winter,5.7,5.72,99.9
2023-01-09 21:00:00,11.6604163129874,21,1,Winter,8.6,5.63,99.9
2023-01-09 22:00:00,8.73466177550257,22,1,Winter,7.0,5.41,99.9
2023-01-09 23:00:00,5.1642602374437,23,1,Winter,5.4,5.47,99.9
2023-01-10 00:00:00,2.16872951225917,0,1,Winter,1.5,5.89,99.9
2023-01-10 01:00:00,3.79676687100756,1,1,Winter,2.9,5.34,99.9
2023-01-10 02:00:00,4.86462333080134,2,1,Winter,3.8,5.18,99.9
2023-01-10 03:00:00,3.21699062705507,3,1,Winter,2.8,5.13,99.9
2023-01-10 04:00:00,3.42142664230283,4,1,Winter,2.7,4.95,99.9
2023-01-10 05:00:00,2.88938939832821,5,1,Winter,2.6,4.92,99.9
2023-01-10 06:00:00,3.16830716378018,6,1,Winter,2.5,4.61,99.9
2023-01-10 07:00:00,3.85759674817273,7,1,Winter,3.2,4.33,99.9
2023-01-10 08:00:00,8.37519845827452,8,1,Winter,7.5,3.57,99.9
2023-01-10 09:00:00,7.97610372148105,9,1,Winter,6.3,4.79,99.9
2023-01-10 10:00:00,6.53554199975048,10,1,Winter,5.9,7.19,99.9
2023-01-10 11:00:00,6.13663540245858,11,1,Winter,5.6,7.99,99.9
2023-01-10 12:00:00,4.39208604601228,12,1,Winter,5.0,9.0,99.9
2023-01-10 13:00:00,3.79410825211622,13,1,Winter,4.3,11.1,97.01
2023-01-10 14:00:00,3.66390225812987,14,1,Winter,3.3,12.21,92.09
2023-01-10 15:00:00,3.62426684728012,15,1,Winter,3.1,12.52,88.18
2023-01-10 16:00:00,3.72531826663748,16,1,Winter,3.4,10.14,93.18
2023-01-10 17:00:00,4.76137369612776,17,1,Winter,4.4,9.27,96.39
2023-01-10 18:00:00,7.87552598704677,18,1,Winter,6.8,8.98,98.33
2023-01-10 19:00:00,16.1498565895506,19,1,Winter,12.8,8.74,99.64
2023-01-10 20:00:00,13.6352208327074,20,1,Winter,12.1,8.32,99.9
2023-01-10 21:00:00,15.6068670147958,21,1,Winter,12.0,7.7,99.9
2023-01-10 22:00:00,14.1411373697102,22,1,Winter,10.9,7.03,99.9
2023-01-10 23:00:00,17.6800642818156,23,1,Winter,13.4,6.09,99.9
2023-01-11 00:00:00,13.714324689578,0,1,Winter,11.2,5.2,99.9
2023-01-11 01:00:00,17.682663399816,1,1,Winter,12.9,4.18,99.9
2023-01-11 02:00:00,14.8782175400287,2,1,Winter,11.4,3.56,99.9
2023-01-11 03:00:00,14.6148966849236,3,1,Winter,11.2,3.19,99.9
2023-01-11 04:00:00,12.8570816195694,4,1,Winter,10.3,2.76,99.9
2023-01-11 05:00:00,15.283934732302,5,1,Winter,11.1,2.71,99.9
2023-01-11 06:00:00,15.7810222510051,6,1,Winter,11.5,2.28,99.9
2023-01-11 07:00:00,16.0647068739812,7,1,Winter,11.6,2.55,99.9
2023-01-11 08:00:00,17.1565708003011,8,1,Winter,12.2,2.7,99.9
2023-01-11 09:00:00,19.5044278753257,9,1,Winter,15.5,4.12,99.9
2023-01-11 10:00:00,19.4935729557115,10,1,Winter,21.7,5.88,99.9
2023-01-11 11:00:00,18.6546647103043,11,1,Winter,16.5,8.55,99.84
2023-01-11 12:00:00,13.192881662299,12,1,Winter,11.0,8.81,99.73
2023-01-11 13:00:00,13.3077212849797,13,1,Winter,10.9,7.96,99.9
2023-01-11 14:00:00,13.7751910926132,14,1,Winter,9.9,7.0,99.9
2023-01-11 15:00:00,19.4140051494223,15,1,Winter,11.8,6.7,99.9
2023-01-11 16:00:00,21.8690834802238,16,1,Winter,15.9,6.62,99.9
2023-01-11 17:00:00,26.2753371721265,17,1,Winter,14.3,6.34,99.9
2023-01-11 18:00:00,26.1957532186968,18,1,Winter,14.8,6.02,99.9
2023-01-11 19:00:00,24.5011559820822,19,1,Winter,14.8,6.27,99.9
2023-01-11 20:00:00,28.4234015267827,20,1,Winter,17.0,6.13,99.9
2023-01-11 21:00:00,29.4185637030887,21,1,Winter,17.2,6.06,99.9
2023-01-11 22:00:00,32.884799728253,22,1,Winter,19.8,5.43,99.9
2023-01-11 23:00:00,32.4209361102068,23,1,Winter,20.7,5.46,99.9
2023-01-12 00:00:00,31.8020144459143,0,1,Winter,20.9,5.38,99.9
2023-01-12 01:00:00,25.7058701628886,1,1,Winter,16.7,4.99,99.9
2023-01-12 02:00:00,25.4599120615457,2,1,Winter,15.8,5.0,99.9
2023-01-12 03:00:00,26.6808848403426,3,1,Winter,18.1,5.28,99.9
2023-01-12 04:00:00,19.9142884268474,4,1,Winter,14.7,5.43,99.9
2023-01-12 05:00:00,19.4898361916039,5,1,Winter,12.9,5.65,99.9
2023-01-12 06:00:00,19.8484175716003,6,1,Winter,14.0,5.67,99.9
2023-01-12 07:00:00,19.0032453451541,7,1,Winter,12.6,5.58,99.9
2023-01-12 08:00:00,17.5437182935622,8,1,Winter,13.7,5.48,99.9
2023-01-12 09:00:00,14.1708762114966,9,1,Winter,10.9,5.59,99.9
2023-01-12 10:00:00,13.5062924793436,10,1,Winter,10.0,7.21,99.9
2023-01-12 11:00:00,13.9223810408272,11,1,Winter,10.3,8.07,99.9
2023-01-12 12:00:00,14.0019792349003,12,1,Winter,10.9,8.59,99.9
2023-01-12 13:00:00,13.427801747983,13,1,Winter,11.0,9.71,99.9
2023-01-12 14:00:00,13.8059622191425,14,1,Winter,12.9,8.95,99.9
2023-01-12 15:00:00,13.0922755361061,15,1,Winter,11.0,8.74,99.9
2023-01-12 16:00:00,15.4786769140129,16,1,Winter,12.1,8.77,99.9
2023-01-12 17:00:00,15.3961545637454,17,1,Winter,11.7,8.0,99.9
2023-01-12 18:00:00,18.7199637241693,18,1,Winter,13.8,7.66,99.9
2023-01-12 19:00:00,22.6602304749017,19,1,Winter,15.5,7.41,99.9
2023-01-12 20:00:00,24.3376750980453,20,1,Winter,16.7,7.22,99.9
2023-01-12 21:00:00,29.1925363489349,21,1,Winter,19.5,6.81,99.9
2023-01-12 22:00:00,28.2312452899643,22,1,Winter,19.6,6.59,99.9
2023-01-12 23:00:00,30.4705439596841,23,1,Winter,20.9,6.15,99.9
2023-01-13 00:00:00,32.1731359624449,0,1,Winter,22.9,5.6,99.9
2023-01-13 01:00:00,31.8886444808437,1,1,Winter,22.3,4.94,99.9
2023-01-13 02:00:00,29.4263956715616,2,1,Winter,19.9,4.8,99.9
2023-01-13 03:00:00,29.0591697774218,3,1,Winter,19.2,4.59,99.9
2023-01-13 04:00:00,25.0978658507872,4,1,Winter,17.2,4.84,99.9
2023-01-13 05:00:00,25.5333224944163,5,1,Winter,16.6,5.03,99.9
2023-01-13 06:00:00,25.7231143761215,6,1,Winter,16.5,5.34,99.9
2023-01-13 07:00:00,29.3542403420606,7,1,Winter,16.4,5.54,99.9
2023-01-13 08:00:00,30.9001042323374,8,1,Winter,22.8,5.83,99.9
2023-01-13 09:00:00,28.6810859347267,9,1,Winter,17.6,6.02,99.9
2023-01-13 10:00:00,27.6297103200961,10,1,Winter,17.3,6.34,99.9
2023-01-13 11:00:00,27.2823718893282,11,1,Winter,17.5,7.72,99.9
2023-01-13 12:00:00,18.7262778434593,12,1,Winter,13.1,10.75,99.9
2023-01-13 13:00:00,12.1840750680854,13,1,Winter,9.6,12.28,99.9
2023-01-13 14:00:00,8.92332003349779,14,1,Winter,6.6,11.69,99.9
2023-01-13 15:00:00,7.00940871385361,15,1,Winter,5.0,10.2,99.9
2023-01-13 16:00:00,8.81506432042362,16,1,Winter,5.6,9.43,99.9
2023-01-13 17:00:00,13.5085995039884,17,1,Winter,8.1,8.24,99.9
2023-01-13 18:00:00,17.7662048130833,18,1,Winter,10.3,7.81,99.9
2023-01-13 19:00:00,23.9377089719725,19,1,Winter,13.9,7.53,99.9
2023-01-13 20:00:00,32.7195189092285,20,1,Winter,20.2,7.09,99.9
2023-01-13 21:00:00,31.9990729259302,21,1,Winter,20.4,7.24,99.9
2023-01-13 22:00:00,33.5690705659241,22,1,Winter,21.3,6.22,99.9
2023-01-13 23:00:00,34.9542016846218,23,1,Winter,21.6,5.17,99.9
2023-01-14 00:00:00,37.1121682784249,0,1,Winter,22.6,4.48,99.9
2023-01-14 01:00:00,37.2465844715247,1,1,Winter,24.6,4.09,99.9
2023-01-14 02:00:00,28.3242916466492,2,1,Winter,17.5,4.06,99.9
2023-01-14 03:00:00,27.3880261504203,3,1,Winter,16.4,4.12,99.9
2023-01-14 04:00:00,27.517193532273,4,1,Winter,17.3,4.26,99.9
2023-01-14 05:00:00,26.042837597407,5,1,Winter,14.8,3.74,99.9
2023-01-14 06:00:00,23.6590983950672,6,1,Winter,13.4,3.29,99.9
2023-01-14 07:00:00,18.1595408103183,7,1,Winter,10.1,2.86,99.9
2023-01-14 08:00:00,18.1581671469009,8,1,Winter,10.7,2.9,99.9
2023-01-14 09:00:00,22.8068502511308,9,1,Winter,12.7,3.91,99.9
2023-01-14 10:00:00,24.1238598775186,10,1,Winter,14.7,5.55,99.9
2023-01-14 11:00:00,18.9474831488053,11,1,Winter,12.5,7.14,99.9
2023-01-14 12:00:00,18.2873900997342,12,1,Winter,12.3,8.21,99.9
2023-01-14 13:00:00,11.3558638184392,13,1,Winter,10.0,9.75,99.9
2023-01-14 14:00:00,7.93400218640746,14,1,Winter,6.5,10.67,99.38
2023-01-14 15:00:00,8.43003287315567,15,1,Winter,6.7,11.04,97.99
2023-01-14 16:00:00,13.5291696892118,16,1,Winter,9.7,9.41,99.81
2023-01-14 17:00:00,16.5080373777503,17,1,Winter,12.4,8.12,99.9
2023-01-14 18:00:00,22.2864802157302,18,1,Winter,15.5,7.39,99.9
2023-01-14 19:00:00,31.4073632137441,19,1,Winter,26.5,7.11,99.9
2023-01-14 20:00:00,29.9649902337457,20,1,Winter,21.3,7.15,99.9
2023-01-14 21:00:00,33.633784284753,21,1,Winter,24.7,7.19,99.9
2023-01-14 22:00:00,31.7733691167559,22,1,Winter,22.6,7.65,99.9
2023-01-14 23:00:00,35.2455204890009,23,1,Winter,26.5,7.23,99.9
2023-01-15 00:00:00,34.551547154448,0,1,Winter,25.0,7.15,99.9
2023-01-15 01:00:00,35.485571280763,1,1,Winter,26.2,7.16,99.9
2023-01-15 02:00:00,34.0631739020925,2,1,Winter,24.2,7.08,99.9
2023-01-15 03:00:00,32.8413700900843,3,1,Winter,22.9,7.07,99.9
2023-01-15 04:00:00,30.7987727328113,4,1,Winter,20.4,7.08,99.9
2023-01-15 05:00:00,28.7170065426317,5,1,Winter,19.6,7.11,99.9
2023-01-15 06:00:00,23.4520554112825,6,1,Winter,15.6,7.22,99.9
2023-01-15 07:00:00,25.4170889002122,7,1,Winter,15.3,6.78,99.9
2023-01-15 08:00:00,22.6835597742565,8,1,Winter,14.4,6.89,99.9
2023-01-15 09:00:00,24.1499790091851,9,1,Winter,15.1,7.4,99.9
